Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
"Small Structures","SMALL STRUCT","WILEY","N/A","2688-4062","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","5,125","13.9","Q1","1.41","56.19"%,
"Small Structures","SMALL STRUCT","WILEY","N/A","2688-4062","NANOSCIENCE & NANOTECHNOLOGY","SCIE","5,125","13.9","Q1","1.41","56.19"%,
"Aggregate","AGGREGATE","WILEY","N/A","2692-4560","CHEMISTRY, MULTIDISCIPLINARY","ESCI","3,132","13.9","Q1","1.37","91.38"%,
"Aggregate","AGGREGATE","WILEY","N/A","2692-4560","CHEMISTRY, PHYSICAL","ESCI","3,132","13.9","Q1","1.37","91.38"%,
"Aggregate","AGGREGATE","WILEY","N/A","2692-4560","MATERIALS SCIENCE, MULTIDISCIPLINARY","ESCI","3,132","13.9","Q1","1.37","91.38"%,
"IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE J SEL AREA COMM","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0733-8716","1558-0008","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","24,403","13.8","Q1","3.65","6.93"%,
"IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE J SEL AREA COMM","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","0733-8716","1558-0008","TELECOMMUNICATIONS","SCIE","24,403","13.8","Q1","3.65","6.93"%,
"Microbiome","MICROBIOME","BMC","2049-2618","2049-2618","MICROBIOLOGY","SCIE","23,518","13.8","Q1","3.13","99.86"%,
"CLINICAL PSYCHOLOGY REVIEW","CLIN PSYCHOL REV","PERGAMON-ELSEVIER SCIENCE LTD","0272-7358","1873-7811","PSYCHOLOGY, CLINICAL","SSCI","22,186","13.7","Q1","2.19","24.77"%,
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","SPRINGERNATURE","1350-9047","1476-5403","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","30,909","13.7","Q1","1.97","51.21"%,
"CELL DEATH AND DIFFERENTIATION","CELL DEATH DIFFER","SPRINGERNATURE","1350-9047","1476-5403","CELL BIOLOGY","SCIE","30,909","13.7","Q1","1.97","51.21"%,
"Physics of Life Reviews","PHYS LIFE REV","ELSEVIER","1571-0645","1873-1457","BIOLOGY","SCIE","2,215","13.7","Q1","1.97","32.61"%,
"Physics of Life Reviews","PHYS LIFE REV","ELSEVIER","1571-0645","1873-1457","BIOPHYSICS","SCIE","2,215","13.7","Q1","1.97","32.61"%,
"TRENDS IN GENETICS","TRENDS GENET","CELL PRESS","0168-9525","1362-4555","GENETICS & HEREDITY","SCIE","13,739","13.7","Q1","1.74","32.2"%,
"Lancet Regional Health-Europe","LANCET REG HEALTH-EU","ELSEVIER","2666-7762","2666-7762","HEALTH CARE SCIENCES & SERVICES","SCIE","4,178","13.6","Q1","5.55","89.09"%,
"Lancet Regional Health-Europe","LANCET REG HEALTH-EU","ELSEVIER","2666-7762","2666-7762","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","4,178","13.6","Q1","5.55","89.09"%,
"Energy Economics","ENERG ECON","ELSEVIER","0140-9883","1873-6181","ECONOMICS","SSCI","45,941","13.6","Q1","4.32","16.57"%,
"JACC: CardioOncology","JACC-CARDIOONCOL","ELSEVIER","2666-0873","2666-0873","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","1,975","13.6","Q1","2.22","89.47"%,
"JACC: CardioOncology","JACC-CARDIOONCOL","ELSEVIER","2666-0873","2666-0873","ONCOLOGY","SCIE","1,975","13.6","Q1","2.22","89.47"%,
"Protein & Cell","PROTEIN CELL","OXFORD UNIV PRESS","1674-800X","1674-8018","CELL BIOLOGY","SCIE","7,518","13.6","Q1","1.47","92.73"%,
"Nano Convergence","NANO CONVERG","SPRINGER","2196-5404","2196-5404","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","2,919","13.5","Q1","1.2","100"%,
"Nano Convergence","NANO CONVERG","SPRINGER","2196-5404","2196-5404","NANOSCIENCE & NANOTECHNOLOGY","SCIE","2,919","13.5","Q1","1.2","100"%,
"Nano Convergence","NANO CONVERG","SPRINGER","2196-5404","2196-5404","PHYSICS, APPLIED","SCIE","2,919","13.5","Q1","1.2","100"%,
"Lancet Healthy Longevity","LANCET HEALTH LONGEV","ELSEVIER","2666-7568","2666-7568","GERIATRICS & GERONTOLOGY","ESCI","2,102","13.4","Q1","3.16","74.6"%,
"Chemical Engineering Journal","CHEM ENG J","ELSEVIER SCIENCE SA","1385-8947","1873-3212","ENGINEERING, CHEMICAL","SCIE","380,201","13.4","Q1","1.87","4.86"%,
"Chemical Engineering Journal","CHEM ENG J","ELSEVIER SCIENCE SA","1385-8947","1873-3212","ENGINEERING, ENVIRONMENTAL","SCIE","380,201","13.4","Q1","1.87","4.86"%,
"JOURNAL OF CLINICAL INVESTIGATION","J CLIN INVEST","AMER SOC CLINICAL INVESTIGATION INC","0021-9738","1558-8238","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","116,347","13.3","Q1","3.45","64.39"%,
"Nature Astronomy","NAT ASTRON","NATURE PORTFOLIO","2397-3366","2397-3366","ASTRONOMY & ASTROPHYSICS","SCIE","10,010","13.3","Q1","2.82","13.38"%,
"Computer Science Review","COMPUT SCI REV","ELSEVIER","1574-0137","1876-7745","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","3,806","13.3","Q1","1.35","15.48"%,
"Computer Science Review","COMPUT SCI REV","ELSEVIER","1574-0137","1876-7745","COMPUTER SCIENCE, SOFTWARE ENGINEERING","SCIE","3,806","13.3","Q1","1.35","15.48"%,
"Computer Science Review","COMPUT SCI REV","ELSEVIER","1574-0137","1876-7745","COMPUTER SCIENCE, THEORY & METHODS","SCIE","3,806","13.3","Q1","1.35","15.48"%,
"OPHTHALMOLOGY","OPHTHALMOLOGY","ELSEVIER SCIENCE INC","0161-6420","1549-4713","OPHTHALMOLOGY","SCIE","44,132","13.2","Q1","5.16","22.27"%,
"Nano Today","NANO TODAY","ELSEVIER SCI LTD","1748-0132","1878-044X","CHEMISTRY, MULTIDISCIPLINARY","SCIE","17,301","13.2","Q1","1.85","7.54"%,
"Nano Today","NANO TODAY","ELSEVIER SCI LTD","1748-0132","1878-044X","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","17,301","13.2","Q1","1.85","7.54"%,
"Nano Today","NANO TODAY","ELSEVIER SCI LTD","1748-0132","1878-044X","NANOSCIENCE & NANOTECHNOLOGY","SCIE","17,301","13.2","Q1","1.85","7.54"%,
"Nature Protocols","NAT PROTOC","NATURE PORTFOLIO","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS","SCIE","52,749","13.1","Q1","3.61","2.37"%,
"Alzheimers & Dementia","ALZHEIMERS DEMENT","WILEY","1552-5260","1552-5279","CLINICAL NEUROLOGY","SCIE","29,016","13.1","Q1","3.55","57.34"%,
"ACS Central Science","ACS CENTRAL SCI","AMER CHEMICAL SOC","2374-7943","2374-7951","CHEMISTRY, MULTIDISCIPLINARY","SCIE","18,793","13.1","Q1","2.75","95.9"%,
"Biochar","BIOCHAR","SPRINGER SINGAPORE PTE LTD","2524-7972","2524-7867","ENVIRONMENTAL SCIENCES","SCIE","2,948","13.1","Q1","2.37","84.65"%,
"Biochar","BIOCHAR","SPRINGER SINGAPORE PTE LTD","2524-7972","2524-7867","SOIL SCIENCE","SCIE","2,948","13.1","Q1","2.37","84.65"%,
"Advances in Applied Energy","ADV APPL ENERGY","ELSEVIER","2666-7924","2666-7924","ENERGY & FUELS","ESCI","1,595","13.1","Q1","1.73","95.07"%,
"TRENDS IN IMMUNOLOGY","TRENDS IMMUNOL","CELL PRESS","1471-4906","1471-4981","IMMUNOLOGY","SCIE","16,463","13.1","Q1","1.38","26.29"%,
"HEPATOLOGY","HEPATOLOGY","LIPPINCOTT WILLIAMS & WILKINS","0270-9139","1527-3350","GASTROENTEROLOGY & HEPATOLOGY","SCIE","74,980","13","Q1","3.18","20.34"%,
"DRUGS","DRUGS","ADIS INT LTD","0012-6667","1179-1950","PHARMACOLOGY & PHARMACY","SCIE","19,948","13","Q1","3","29.2"%,
"DRUGS","DRUGS","ADIS INT LTD","0012-6667","1179-1950","TOXICOLOGY","SCIE","19,948","13","Q1","3","29.2"%,
"Nature Chemical Biology","NAT CHEM BIOL","NATURE PORTFOLIO","1552-4450","1552-4469","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","30,039","13","Q1","2.79","18.88"%,
"Journal of Ocean Engineering and Science","J OCEAN ENG SCI","ELSEVIER","2468-0133","2468-0133","ENGINEERING, MARINE","SCIE","2,205","13","Q1","2.34","97.28"%,
"Journal of Ocean Engineering and Science","J OCEAN ENG SCI","ELSEVIER","2468-0133","2468-0133","ENGINEERING, OCEAN","SCIE","2,205","13","Q1","2.34","97.28"%,
"Cell Discovery","CELL DISCOV","SPRINGERNATURE","N/A","2056-5968","CELL BIOLOGY","SCIE","5,610","13","Q1","1.93","99.6"%,
"Small","SMALL","WILEY-V C H VERLAG GMBH","1613-6810","1613-6829","CHEMISTRY, MULTIDISCIPLINARY","SCIE","124,383","13","Q1","1.89","12.55"%,
"Small","SMALL","WILEY-V C H VERLAG GMBH","1613-6810","1613-6829","CHEMISTRY, PHYSICAL","SCIE","124,383","13","Q1","1.89","12.55"%,
"Small","SMALL","WILEY-V C H VERLAG GMBH","1613-6810","1613-6829","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","124,383","13","Q1","1.89","12.55"%,
"Small","SMALL","WILEY-V C H VERLAG GMBH","1613-6810","1613-6829","NANOSCIENCE & NANOTECHNOLOGY","SCIE","124,383","13","Q1","1.89","12.55"%,
"Small","SMALL","WILEY-V C H VERLAG GMBH","1613-6810","1613-6829","PHYSICS, APPLIED","SCIE","124,383","13","Q1","1.89","12.55"%,
"Small","SMALL","WILEY-V C H VERLAG GMBH","1613-6810","1613-6829","PHYSICS, CONDENSED MATTER","SCIE","124,383","13","Q1","1.89","12.55"%,
"Energy & Environmental Materials","ENERGY ENVIRON MATER","WILEY","N/A","2575-0356","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","6,743","13","Q1","1.85","38.15"%,
"TRENDS IN CELL BIOLOGY","TRENDS CELL BIOL","CELL PRESS","0962-8924","1879-3088","CELL BIOLOGY","SCIE","19,039","13","Q1","1.48","20.18"%,
"CANADIAN MEDICAL ASSOCIATION JOURNAL","CAN MED ASSOC J","CMA-CANADIAN MEDICAL ASSOC","0820-3946","1488-2329","MEDICINE, GENERAL & INTERNAL","SCIE","18,293","12.9","Q1","2.72","96.05"%,
"TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE","TECHNOL FORECAST SOC","ELSEVIER SCIENCE INC","0040-1625","1873-5509","BUSINESS","SSCI","50,385","12.9","Q1","2.6","22.65"%,
"TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE","TECHNOL FORECAST SOC","ELSEVIER SCIENCE INC","0040-1625","1873-5509","REGIONAL & URBAN PLANNING","SSCI","50,385","12.9","Q1","2.6","22.65"%,
"Blood Cancer Journal","BLOOD CANCER J","SPRINGERNATURE","2044-5385","2044-5385","HEMATOLOGY","SCIE","6,925","12.9","Q1","2.12","99.68"%,
"Blood Cancer Journal","BLOOD CANCER J","SPRINGERNATURE","2044-5385","2044-5385","ONCOLOGY","SCIE","6,925","12.9","Q1","2.12","99.68"%,
"Med","MED-CAMBRIDGE","CELL PRESS","2666-6340","2666-6340","MEDICINE, RESEARCH & EXPERIMENTAL","ESCI","1,675","12.8","Q1","3.85","37.82"%,
"JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY","J AM ACAD DERMATOL","MOSBY-ELSEVIER","0190-9622","1097-6787","DERMATOLOGY","SCIE","36,705","12.8","Q1","3.65","13.93"%,
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","ELSEVIER SCIENCE INC","1936-878X","1876-7591","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","16,407","12.8","Q1","3.43","21.73"%,
"JACC-Cardiovascular Imaging","JACC-CARDIOVASC IMAG","ELSEVIER SCIENCE INC","1936-878X","1876-7591","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","16,407","12.8","Q1","3.43","21.73"%,
"JOURNAL OF EXPERIMENTAL MEDICINE","J EXP MED","ROCKEFELLER UNIV PRESS","0022-1007","1540-9538","IMMUNOLOGY","SCIE","63,869","12.8","Q1","2.93","99.52"%,
"JOURNAL OF EXPERIMENTAL MEDICINE","J EXP MED","ROCKEFELLER UNIV PRESS","0022-1007","1540-9538","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","63,869","12.8","Q1","2.93","99.52"%,
"BIOMATERIALS","BIOMATERIALS","ELSEVIER SCI LTD","0142-9612","1878-5905","ENGINEERING, BIOMEDICAL","SCIE","111,680","12.8","Q1","2.52","13.38"%,
"BIOMATERIALS","BIOMATERIALS","ELSEVIER SCI LTD","0142-9612","1878-5905","MATERIALS SCIENCE, BIOMATERIALS","SCIE","111,680","12.8","Q1","2.52","13.38"%,
"Lancet HIV","LANCET HIV","ELSEVIER INC","2352-3018","2352-3018","IMMUNOLOGY","SCIE","5,604","12.8","Q1","2.41","22.5"%,
"Lancet HIV","LANCET HIV","ELSEVIER INC","2352-3018","2352-3018","INFECTIOUS DISEASES","SCIE","5,604","12.8","Q1","2.41","22.5"%,
"LEUKEMIA","LEUKEMIA","SPRINGERNATURE","0887-6924","1476-5551","HEMATOLOGY","SCIE","31,588","12.8","Q1","2.15","54.72"%,
"LEUKEMIA","LEUKEMIA","SPRINGERNATURE","0887-6924","1476-5551","ONCOLOGY","SCIE","31,588","12.8","Q1","2.15","54.72"%,
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","CELL PRESS","1471-4914","1471-499X","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","13,332","12.8","Q1","1.43","23.85"%,
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","CELL PRESS","1471-4914","1471-499X","CELL BIOLOGY","SCIE","13,332","12.8","Q1","1.43","23.85"%,
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","CELL PRESS","1471-4914","1471-499X","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","13,332","12.8","Q1","1.43","23.85"%,
"Annual Review of Biomedical Engineering","ANNU REV BIOMED ENG","ANNUAL REVIEWS","1523-9829","1545-4274","ENGINEERING, BIOMEDICAL","SCIE","5,431","12.8","Q1","1.18","88.24"%,
"JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS","J PHOTOCH PHOTOBIO C","ELSEVIER","1389-5567","1873-2739","CHEMISTRY, PHYSICAL","SCIE","4,608","12.8","Q1","1.13","6.94"%,
"COMPOSITES PART B-ENGINEERING","COMPOS PART B-ENG","ELSEVIER SCI LTD","1359-8368","1879-1069","ENGINEERING, MULTIDISCIPLINARY","SCIE","76,001","12.7","Q1","3.02","9.42"%,
"COMPOSITES PART B-ENGINEERING","COMPOS PART B-ENG","ELSEVIER SCI LTD","1359-8368","1879-1069","MATERIALS SCIENCE, COMPOSITES","SCIE","76,001","12.7","Q1","3.02","9.42"%,
"ALLERGY","ALLERGY","WILEY","0105-4538","1398-9995","ALLERGY","SCIE","26,196","12.6","Q1","2.14","49.51"%,
"ALLERGY","ALLERGY","WILEY","0105-4538","1398-9995","IMMUNOLOGY","SCIE","26,196","12.6","Q1","2.14","49.51"%,
"Nano Materials Science","NANO MATER SCI","KEAI PUBLISHING LTD","2096-6482","2589-9651","MATERIALS SCIENCE, MULTIDISCIPLINARY","ESCI","1,879","12.6","Q1","1.48","98.08"%,
"Nano Materials Science","NANO MATER SCI","KEAI PUBLISHING LTD","2096-6482","2589-9651","NANOSCIENCE & NANOTECHNOLOGY","ESCI","1,879","12.6","Q1","1.48","98.08"%,
"Annual Review of Nutrition","ANNU REV NUTR","ANNUAL REVIEWS","0199-9885","1545-4312","NUTRITION & DIETETICS","SCIE","6,105","12.6","Q1","1.29","26.79"%,
"International Journal of Surgery","INT J SURG","LIPPINCOTT WILLIAMS & WILKINS","1743-9191","1743-9159","SURGERY","SCIE","17,905","12.5","Q1","4.45","65.15"%,
"Analytic Methods in Accident Research","ANAL METHODS ACCID R","ELSEVIER","2213-6657","2213-6665","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","2,509","12.5","Q1","3.33","11.7"%,
"Analytic Methods in Accident Research","ANAL METHODS ACCID R","ELSEVIER","2213-6657","2213-6665","TRANSPORTATION","SSCI","2,509","12.5","Q1","3.33","11.7"%,
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","NATURE PORTFOLIO","1545-9993","1545-9985","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","27,961","12.5","Q1","2.86","33.5"%,
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","NATURE PORTFOLIO","1545-9993","1545-9985","BIOPHYSICS","SCIE","27,961","12.5","Q1","2.86","33.5"%,
"NATURE STRUCTURAL & MOLECULAR BIOLOGY","NAT STRUCT MOL BIOL","NATURE PORTFOLIO","1545-9993","1545-9985","CELL BIOLOGY","SCIE","27,961","12.5","Q1","2.86","33.5"%,
"Communications in Transportation Research","COMMUN TRANSP RES","ELSEVIER","2772-4247","2772-4247","TRANSPORTATION","ESCI","612","12.5","Q1","2.85","85.94"%,
"Communications in Transportation Research","COMMUN TRANSP RES","ELSEVIER","2772-4247","2772-4247","TRANSPORTATION SCIENCE & TECHNOLOGY","ESCI","612","12.5","Q1","2.85","85.94"%,
"Business Strategy and the Environment","BUS STRATEG ENVIRON","WILEY","0964-4733","1099-0836","BUSINESS","SSCI","22,887","12.5","Q1","2.67","40.22"%,
"Business Strategy and the Environment","BUS STRATEG ENVIRON","WILEY","0964-4733","1099-0836","ENVIRONMENTAL STUDIES","SSCI","22,887","12.5","Q1","2.67","40.22"%,
"Business Strategy and the Environment","BUS STRATEG ENVIRON","WILEY","0964-4733","1099-0836","MANAGEMENT","SSCI","22,887","12.5","Q1","2.67","40.22"%,
"CANCER RESEARCH","CANCER RES","AMER ASSOC CANCER RESEARCH","0008-5472","1538-7445","ONCOLOGY","SCIE","123,003","12.5","Q1","1.99","27.33"%,
"AGEING RESEARCH REVIEWS","AGEING RES REV","ELSEVIER IRELAND LTD","1568-1637","1872-9649","CELL BIOLOGY","SCIE","17,162","12.5","Q1","1.56","27.59"%,
"AGEING RESEARCH REVIEWS","AGEING RES REV","ELSEVIER IRELAND LTD","1568-1637","1872-9649","GERIATRICS & GERONTOLOGY","SCIE","17,162","12.5","Q1","1.56","27.59"%,
"AMERICAN PSYCHOLOGIST","AM PSYCHOL","AMER PSYCHOLOGICAL ASSOC","0003-066X","1935-990X","PSYCHOLOGY, MULTIDISCIPLINARY","SSCI","34,836","12.4","Q1","5.16","17.28"%,
"npj Digital Medicine","NPJ DIGIT MED","NATURE PORTFOLIO","2398-6352","2398-6352","HEALTH CARE SCIENCES & SERVICES","SCIE","9,911","12.4","Q1","3.43","99.43"%,
"npj Digital Medicine","NPJ DIGIT MED","NATURE PORTFOLIO","2398-6352","2398-6352","MEDICAL INFORMATICS","SCIE","9,911","12.4","Q1","3.43","99.43"%,
"Theranostics","THERANOSTICS","IVYSPRING INT PUBL","1838-7640","1838-7640","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","41,385","12.4","Q1","2.63","98.97"%,
"Resources Environment and Sustainability","RESOUR ENVIRON SUST","ELSEVIER","2666-9161","2666-9161","ENVIRONMENTAL SCIENCES","ESCI","920","12.4","Q1","2.06","94.29"%,
"Resources Environment and Sustainability","RESOUR ENVIRON SUST","ELSEVIER","2666-9161","2666-9161","ENVIRONMENTAL STUDIES","ESCI","920","12.4","Q1","2.06","94.29"%,
"Resources Environment and Sustainability","RESOUR ENVIRON SUST","ELSEVIER","2666-9161","2666-9161","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","ESCI","920","12.4","Q1","2.06","94.29"%,
"Applied Computing and Informatics","APPL COMPUT INFORM","EMERALD GROUP PUBLISHING LTD","2634-1964","2210-8327","COMPUTER SCIENCE, INFORMATION SYSTEMS","ESCI","983","12.3","Q1","4.61","96.15"%,
"npj Flexible Electronics","NPJ FLEX ELECTRON","NATURE PORTFOLIO","N/A","2397-4621","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","3,116","12.3","Q1","2.38","99.46"%,
"npj Flexible Electronics","NPJ FLEX ELECTRON","NATURE PORTFOLIO","N/A","2397-4621","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","3,116","12.3","Q1","2.38","99.46"%,
"JOURNAL OF MANUFACTURING SYSTEMS","J MANUF SYST","ELSEVIER SCI LTD","0278-6125","1878-6642","ENGINEERING, INDUSTRIAL","SCIE","11,534","12.3","Q1","2.25","15.19"%,
"JOURNAL OF MANUFACTURING SYSTEMS","J MANUF SYST","ELSEVIER SCI LTD","0278-6125","1878-6642","ENGINEERING, MANUFACTURING","SCIE","11,534","12.3","Q1","2.25","15.19"%,
"JOURNAL OF MANUFACTURING SYSTEMS","J MANUF SYST","ELSEVIER SCI LTD","0278-6125","1878-6642","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","11,534","12.3","Q1","2.25","15.19"%,
"Gut Microbes","GUT MICROBES","TAYLOR & FRANCIS INC","1949-0976","1949-0984","GASTROENTEROLOGY & HEPATOLOGY","SCIE","14,123","12.2","Q1","2.34","98.92"%,
"Gut Microbes","GUT MICROBES","TAYLOR & FRANCIS INC","1949-0976","1949-0984","MICROBIOLOGY","SCIE","14,123","12.2","Q1","2.34","98.92"%,
"JOURNAL OF HAZARDOUS MATERIALS","J HAZARD MATER","ELSEVIER","0304-3894","1873-3336","ENGINEERING, ENVIRONMENTAL","SCIE","210,698","12.2","Q1","1.85","6.28"%,
"JOURNAL OF HAZARDOUS MATERIALS","J HAZARD MATER","ELSEVIER","0304-3894","1873-3336","ENVIRONMENTAL SCIENCES","SCIE","210,698","12.2","Q1","1.85","6.28"%,
"Materials Horizons","MATER HORIZ","ROYAL SOC CHEMISTRY","2051-6347","2051-6355","CHEMISTRY, MULTIDISCIPLINARY","SCIE","19,050","12.2","Q1","1.78","13.78"%,
"Materials Horizons","MATER HORIZ","ROYAL SOC CHEMISTRY","2051-6347","2051-6355","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","19,050","12.2","Q1","1.78","13.78"%,
"Applied Mechanics Reviews","APPL MECH REV","ASME","0003-6900","2379-0407","MECHANICS","SCIE","5,224","12.2","Q1","1.09","3.23"%,
"CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE","CURR OPIN SOLID ST M","PERGAMON-ELSEVIER SCIENCE LTD","1359-0286","1879-0348","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","5,278","12.2","Q1","0.97","19.15"%,
"CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE","CURR OPIN SOLID ST M","PERGAMON-ELSEVIER SCIENCE LTD","1359-0286","1879-0348","PHYSICS, APPLIED","SCIE","5,278","12.2","Q1","0.97","19.15"%,
"CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE","CURR OPIN SOLID ST M","PERGAMON-ELSEVIER SCIENCE LTD","1359-0286","1879-0348","PHYSICS, CONDENSED MATTER","SCIE","5,278","12.2","Q1","0.97","19.15"%,
"RADIOLOGY","RADIOLOGY","RADIOLOGICAL SOC NORTH AMERICA (RSNA)","0033-8419","N/A","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","59,780","12.1","Q1","5.35","1.19"%,
"SEMINARS IN CANCER BIOLOGY","SEMIN CANCER BIOL","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","1044-579X","1096-3650","ONCOLOGY","SCIE","17,821","12.1","Q1","3.32","19.17"%,
"Nature Reviews Urology","NAT REV UROL","NATURE PORTFOLIO","1759-4812","1759-4820","UROLOGY & NEPHROLOGY","SCIE","6,393","12.1","Q1","2.99","4.41"%,
"MOLECULAR THERAPY","MOL THER","CELL PRESS","1525-0016","1525-0024","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","27,562","12.1","Q1","2.88","92.29"%,
"MOLECULAR THERAPY","MOL THER","CELL PRESS","1525-0016","1525-0024","GENETICS & HEREDITY","SCIE","27,562","12.1","Q1","2.88","92.29"%,
"MOLECULAR THERAPY","MOL THER","CELL PRESS","1525-0016","1525-0024","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","27,562","12.1","Q1","2.88","92.29"%,
"Annual Review of Neuroscience","ANNU REV NEUROSCI","ANNUAL REVIEWS","0147-006X","1545-4126","NEUROSCIENCES","SCIE","13,158","12.1","Q1","1.88","33.33"%,
"Annual Review of Biochemistry","ANNU REV BIOCHEM","ANNUAL REVIEWS","0066-4154","1545-4509","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","21,013","12.1","Q1","1.72","29.49"%,
"BIOTECHNOLOGY ADVANCES","BIOTECHNOL ADV","PERGAMON-ELSEVIER SCIENCE LTD","0734-9750","1873-1899","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","24,526","12.1","Q1","1.61","22.81"%,
"Nature Computational Science","NAT COMPUT SCI","SPRINGERNATURE","N/A","2662-8457","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","ESCI","1,942","12","Q1","2.71","24.88"%,
"Nature Computational Science","NAT COMPUT SCI","SPRINGERNATURE","N/A","2662-8457","COMPUTER SCIENCE, THEORY & METHODS","ESCI","1,942","12","Q1","2.71","24.88"%,
"Nature Computational Science","NAT COMPUT SCI","SPRINGERNATURE","N/A","2662-8457","MULTIDISCIPLINARY SCIENCES","ESCI","1,942","12","Q1","2.71","24.88"%,
"PHARMACOLOGY & THERAPEUTICS","PHARMACOL THERAPEUT","PERGAMON-ELSEVIER SCIENCE LTD","0163-7258","1879-016X","PHARMACOLOGY & PHARMACY","SCIE","23,318","12","Q1","1.93","18.98"%,
"Materials Futures","MATER FUTURES","IOP Publishing Ltd","N/A","2752-5724","MATERIALS SCIENCE, MULTIDISCIPLINARY","ESCI","673","12","Q1","1.43","96.3"%,
"COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY","COMPR REV FOOD SCI F","WILEY","1541-4337","1541-4337","FOOD SCIENCE & TECHNOLOGY","SCIE","18,439","12","Q1","1.4","18.86"%,
"BRAIN","BRAIN","OXFORD UNIV PRESS","0006-8950","1460-2156","CLINICAL NEUROLOGY","SCIE","60,948","11.9","Q1","3.35","51.96"%,
"BRAIN","BRAIN","OXFORD UNIV PRESS","0006-8950","1460-2156","NEUROSCIENCES","SCIE","60,948","11.9","Q1","3.35","51.96"%,
"Journal of Hospitality Marketing & Management","J HOSP MARKET MANAG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1936-8623","1936-8631","BUSINESS","SSCI","4,066","11.9","Q1","2.51","5.52"%,
"Journal of Hospitality Marketing & Management","J HOSP MARKET MANAG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1936-8623","1936-8631","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","4,066","11.9","Q1","2.51","5.52"%,
"Journal of Hospitality Marketing & Management","J HOSP MARKET MANAG","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1936-8623","1936-8631","MANAGEMENT","SSCI","4,066","11.9","Q1","2.51","5.52"%,
